url,name,nationality,weight,height,one_day,gc,tt,sprint,climber,hills
https://www.procyclingstats.com/rider/thibault-ferasse,Thibault  Ferasse,France, 61 kg   , 1.68 m,322,125,46,42,50,182
https://www.procyclingstats.com/rider/fabio-aru,Fabio  Aru,Italy, 63 kg   , 1.83 m,932,3573,580,20,4035,1115
https://www.procyclingstats.com/rider/cadel-evans,Cadel  Evans,Australia, 64 kg   , 1.74 m,2445,9191,4913,142,6175,3052
https://www.procyclingstats.com/rider/eddy-fine,Eddy  Finé,France, 70 kg   , 1.80 m,199,70,0,34,31,127
https://www.procyclingstats.com/rider/edoardo-girardi,Edoardo  Girardi,Italy,,,99,15,0,0,14,0
https://www.procyclingstats.com/rider/kevin-deltombe,Kevin  Deltombe,Belgium, 66 kg   , 1.78 m,230,86,6,62,32,145
https://www.procyclingstats.com/rider/harold-tejada,Harold  Tejada,Colombia, 63 kg   , 1.80 m,96,527,223,8,530,504
https://www.procyclingstats.com/rider/adrian-banaszek,Adrian  Banaszek,Poland, 79 kg   , 1.85 m,37,76,174,228,0,6
https://www.procyclingstats.com/rider/tyler-williams,Tyler  Williams,United States, 73 kg   , 1.80 m,37,68,103,36,1,24
https://www.procyclingstats.com/rider/marc-brustenga-masague,Marc  Brustenga,Spain, 80 kg   , 1.90 m,24,25,14,66,0,57
https://www.procyclingstats.com/rider/timothy-roe,Timothy  Roe,Australia, 66 kg   , 1.83 m,9,234,77,1,58,20
https://www.procyclingstats.com/rider/elliot-schultz,Elliot  Schultz,Australia, 62 kg   , 1.75 m,65,18,0,53,4,7
https://www.procyclingstats.com/rider/adrien-petit,Adrien  Petit,France, 80 kg   , 1.88 m,1843,385,365,665,8,141
https://www.procyclingstats.com/rider/renaud-dion,Renaud  Dion,France, 65 kg   , 1.78 m,537,212,4,18,68,94
https://www.procyclingstats.com/rider/remy-rochas,Rémy  Rochas,France, 51 kg   , 1.64 m,222,652,88,8,385,382
https://www.procyclingstats.com/rider/ben-swift,Ben  Swift,Great Britain, 69 kg   , 1.79 m,1916,960,87,2864,568,1626
https://www.procyclingstats.com/rider/jerome-coppel,Jérôme  Coppel,France, 64 kg   , 1.78 m,531,1959,2514,2,492,520
